sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
大寮,高雄市,67,二氧化硫,普通,39.9,0.41,16,26,29,21,16,19.9,3.3,1.1,339,"2024-12-01 08:00",,0.3,21.5,28,6,120.425311,22.56413611,51
鳳山,高雄市,80,細懸浮微粒,普通,0.7,0.46,31,33,39,27,12,12.8,0.9,0.3,119,"2024-12-01 08:00",,0.3,27.3,43,1,120.357422,22.628126,50
仁武,高雄市,85,細懸浮微粒,普通,1.9,0.43,31,28,55,43,17,19.1,2,1.1,88,"2024-12-01 08:00",,0.3,29.3,41,1,120.332631,22.689056,49
橋頭,高雄市,76,細懸浮微粒,普通,1.5,0.33,18,22,44,31,19,22.1,2.7,1.5,64,"2024-12-01 08:00",,0.3,25.5,39,1,120.305689,22.757506,48
美濃,高雄市,57,細懸浮微粒,普通,0.9,0.34,16,16,29,15,7,9.3,2,0.9,125,"2024-12-01 08:00",,0.2,17.8,29,1,120.530542,22.883583,47
臺南,臺南市,85,細懸浮微粒,普通,2.2,0.48,25,24,46,32,31,33.8,2.6,2.4,8,"2024-12-01 08:00",,0.3,29.2,51,1,120.21947897,22.98928311,46
安南,臺南市,108,細懸浮微粒,對敏感族群不健康,2.1,0.47,14,19,65,37,23,27.5,4.6,1.4,323,"2024-12-01 08:00",,0.4,38.2,63,1,120.2175,23.048197,45
善化,臺南市,81,細懸浮微粒,普通,1.5,0.43,7,12,36,21,11,16.7,5.4,0.5,142,"2024-12-01 08:00",,0.3,27.7,43,2,120.29740529,23.11337642,44
新營,臺南市,100,細懸浮微粒,普通,1.8,0.54,23,26,59,38,15,17.4,2.5,1.3,56,"2024-12-01 08:00",,0.4,35.3,55,2,120.31725,23.305633,43
嘉義,嘉義市,82,細懸浮微粒,普通,2.2,0.57,15,18,48,32,16,21.4,5.3,1.5,358,"2024-12-01 08:00",,0.3,27.9,39,2,120.44125148,23.46477865,42
臺西,雲林縣,139,細懸浮微粒,對敏感族群不健康,1.1,0.49,14,14,98,65,16,19,3,1.2,45,"2024-12-01 08:00",,0.3,50,78,2,120.19933333,23.702175,41
朴子,嘉義縣,105,細懸浮微粒,對敏感族群不健康,2.2,0.51,11,11,63,43,14,20.2,5.9,0.8,71,"2024-12-01 08:00",,0.4,37,60,2,120.2478,23.46538,40
新港,嘉義縣,108,細懸浮微粒,對敏感族群不健康,1.8,0.56,11,13,59,40,14,18.6,4.3,0.9,92,"2024-12-01 08:00",,0.4,38.2,61,2,120.345531,23.554839,39
崙背,雲林縣,127,細懸浮微粒,對敏感族群不健康,1.4,0.52,13,9,68,47,13,16.5,3.1,0.7,38,"2024-12-01 08:00",,0.4,45.5,64,1,120.348742,23.757547,38
斗六,雲林縣,86,細懸浮微粒,普通,1.4,0.26,21,21,34,22,5,6.8,1.4,1.4,29,"2024-12-01 08:00",,0.2,29.6,43,2,120.544994,23.711853,37
南投,南投縣,104,細懸浮微粒,對敏感族群不健康,1.4,0.47,9,12,44,35,10,15.4,5,0.3,320,"2024-12-01 08:00",,0.3,36.7,49,1,120.685306,23.913,36
二林,彰化縣,148,細懸浮微粒,對敏感族群不健康,1.5,0.53,9,8,82,63,12,16.7,4.6,1.9,56,"2024-12-01 08:00",,0.4,53.6,81,2,120.409653,23.925175,35
線西,彰化縣,94,細懸浮微粒,普通,1.4,0.45,18,18,45,35,11,13.4,2.6,0.3,96,"2024-12-01 08:00",,0.4,33.1,47,3,120.469061,24.131672,34
彰化,彰化縣,81,細懸浮微粒,普通,1.3,0.47,20,21,36,26,10,12,2.2,0.6,321,"2024-12-01 08:00",,0.3,27.7,38,2,120.541519,24.066,33
西屯,臺中市,97,細懸浮微粒,普通,1.3,0.61,7,5,53,38,20,31.7,11.7,1.1,357,"2024-12-01 08:00",,0.5,34.1,49,1,120.616917,24.162197,32
忠明,臺中市,89,細懸浮微粒,普通,1.4,0.73,8,5,49,38,25,40.7,16.1,0.3,279,"2024-12-01 08:00",,0.6,30.8,45,1,120.641092,24.151958,31
大里,臺中市,86,細懸浮微粒,普通,2,0.53,14,8,45,28,14,18.3,4.8,0.9,100,"2024-12-01 08:00",,0.5,29.6,43,2,120.67844444,24.09961111,30
沙鹿,臺中市,113,細懸浮微粒,對敏感族群不健康,2.2,0.56,3,9,79,59,25,29.3,4.4,0.7,23,"2024-12-01 08:00",,0.4,40.2,61,1,120.568794,24.225628,29
豐原,臺中市,58,細懸浮微粒,普通,1.3,0.38,22,29,25,14,11,13,2.1,0.7,56,"2024-12-01 08:00",,0.3,18.4,27,2,120.74252414,24.25699731,28
三義,苗栗縣,60,細懸浮微粒,普通,1.1,0.34,32,35,24,21,5,6,1.4,1.4,14,"2024-12-01 08:00",,0.2,19.1,26,1,120.75956754,24.38248443,27
苗栗,苗栗縣,64,細懸浮微粒,普通,1.4,0.32,24,25,28,21,7,8.9,1.7,1.1,177,"2024-12-01 08:00",,0.3,20.9,27,1,120.82011468,24.56499183,26
頭份,苗栗縣,56,細懸浮微粒,普通,1.7,0.33,18,21,28,18,8,10,2.1,1.9,113,"2024-12-01 08:00",,0.2,17.5,27,2,120.89869286,24.69690679,25
新竹,新竹市,57,細懸浮微粒,普通,1.2,0.49,7,11,35,24,19,26.5,7.1,0.6,80,"2024-12-01 08:00",,0.4,18.1,26,1,120.97236752,24.8056356,24
竹東,新竹縣,55,細懸浮微粒,普通,1.3,0.41,19,18,28,19,9,10.9,1.9,1.4,135,"2024-12-01 08:00",,0.2,17.2,23,1,121.08895493,24.74091408,23
湖口,新竹縣,47,,良好,2.2,0.36,31,27,32,17,9,10.1,1,1.5,155,"2024-12-01 08:00",,0.3,14.4,29,2,121.03886894,24.90009696,22
龍潭,桃園市,54,細懸浮微粒,普通,1.1,0.43,19,23,35,23,16,19.9,3.3,1,176,"2024-12-01 08:00",,0.2,16.7,26,1,121.21645772,24.86400048,21
平鎮,桃園市,48,,良好,1.2,0.44,21,20,32,22,14,15.7,1.2,0.4,177,"2024-12-01 08:00",,0.3,14.7,26,1,121.203986,24.952786,20
觀音,桃園市,61,細懸浮微粒,普通,1,0.35,20,19,50,24,14,15.6,1.7,1.1,195,"2024-12-01 08:00",,0.3,19.7,39,1,121.08283092,25.03556747,19
大園,桃園市,47,,良好,1.4,0.43,9,14,41,22,23,29.7,7,1.8,144,"2024-12-01 08:00",,0.3,14.6,27,1,121.20251473,25.06100357,18
桃園,桃園市,49,,良好,1.3,0.41,11,8,20,15,16,20.5,4.3,0.6,200,"2024-12-01 08:00",,0.4,15.1,25,1,121.30500531,24.9947107,17
大同,臺北市,47,,良好,1.4,1.14,2,9,26,16,29,98.2,69.2,-,-,"2024-12-01 08:00",,0.6,14,20,1,121.51342074,25.06331455,16
松山,臺北市,35,,良好,,0.44,6,10,31,21,18,28.5,10.4,0.4,71,"2024-12-01 08:00",,0.3,10.8,23,1,121.578611,25.05,15
古亭,臺北市,32,,良好,1.6,0.28,14,18,17,10,8,10.7,2.4,0.6,130,"2024-12-01 08:00",,0.2,9.8,15,1,121.529556,25.020608,14
萬華,臺北市,29,,良好,1,0.36,12,16,15,9,15,18.1,3.4,0.2,140,"2024-12-01 08:00",,0.3,9,17,1,121.507972,25.046503,13
中山,臺北市,41,,良好,0.8,0.34,16,16,19,16,11,13.4,2.8,0.6,162,"2024-12-01 08:00",,0.3,12.5,18,1,121.526528,25.062361,12
士林,臺北市,24,,良好,0.8,0.34,16,20,21,8,11,12.8,2.1,0.4,145,"2024-12-01 08:00",,0.2,7.5,15,1,121.51666356,25.10334003,11
淡水,新北市,32,,良好,1.8,0.43,13,17,23,15,14,17.9,4.2,3.1,160,"2024-12-01 08:00",,0.3,9.8,21,1,121.449239,25.1645,10
林口,新北市,37,,良好,1.3,0.34,26,29,30,15,19,22.6,4,1.1,154,"2024-12-01 08:00",,0.2,11.4,20,1,121.36548982,25.07798949,9
菜寮,新北市,51,細懸浮微粒,普通,0.8,0.86,3,4,22,18,27,55.3,27.9,0.4,236,"2024-12-01 08:00",,0.7,15.5,20,0,121.481028,25.06895,8
新莊,新北市,48,,良好,1.6,0.61,5,5,34,16,19,30.1,11.2,0.4,285,"2024-12-01 08:00",,0.4,14.8,26,1,121.4325,25.037972,7
板橋,新北市,39,,良好,1,0.64,5,9,26,11,22,33.6,11.4,0.6,257,"2024-12-01 08:00",,0.4,12.1,19,0,121.458667,25.012972,6
土城,新北市,35,,良好,1.3,0.51,7,10,21,14,18,25.8,7.9,0.3,150,"2024-12-01 08:00",,0.3,10.8,19,1,121.451861,24.982528,5
新店,新北市,38,,良好,0.5,0.28,14,19,17,11,7,9.3,2,1.4,182,"2024-12-01 08:00",,0.2,11.6,16,0,121.537778,24.977222,4
萬里,新北市,31,,良好,0.6,0.26,32,32,23,16,5,6,1.2,4.3,230,"2024-12-01 08:00",,0.1,9.5,16,0,121.689881,25.179667,3
汐止,新北市,39,,良好,1.1,0.6,3,3,22,13,18,53.3,35.4,0.3,46,"2024-12-01 08:00",,0.4,11.9,19,1,121.64081,25.06624,2
基隆,基隆市,26,,良好,1.3,0.49,9,5,19,10,15,22.9,7.9,0.8,305,"2024-12-01 08:00",,0.4,7.9,15,1,121.760056,25.129167,1
屏東(枋山),屏東縣,33,,良好,0.4,0.15,34,37,12,5,2,2.3,0.2,3,91,"2024-12-01 07:00",,0.1,5.5,14,0,120.651472,22.260899,313
花蓮（美崙）,花蓮縣,21,,良好,0,0.23,22,23,8,5,3,2.8,0.2,2.1,272,"2024-12-01 07:00",,0.2,6.1,10,0,121.61575076,23.97709367,312
新北(樹林),新北市,33,,良好,0.5,0.36,6,8,25,19,12,15.1,3.4,0,49,"2024-12-01 07:00",,0.3,10.2,18,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,68,細懸浮微粒,普通,1.2,0.25,36,41,39,25,9,9.6,0.3,1.9,352,"2024-12-01 07:00",,0.2,22.5,40,2,120.37722,22.35222,204
臺南（麻豆）,臺南市,105,細懸浮微粒,對敏感族群不健康,1.1,0.52,9,20,68,41,16,25.9,9.5,0.2,120,"2024-12-01 07:00",,0.3,37,62,1,120.24583056,23.17904722,203
高雄（湖內）,高雄市,83,細懸浮微粒,普通,1.7,0.28,22,24,45,26,12,12.1,0.2,1.1,77,"2024-12-01 07:00",,0.3,28.3,48,2,120.24535,22.87985556,202
彰化（員林）,彰化縣,88,細懸浮微粒,普通,1.5,0.53,9,14,59,37,16,19.8,4,0.4,318,"2024-12-01 07:00",,0.4,30.4,54,2,120.56373,23.96117,201
大城,彰化縣,138,細懸浮微粒,對敏感族群不健康,0.9,0.42,11,16,91,65,10,10.9,1.2,0.9,80,"2024-12-01 07:00",,0.3,49.9,69,2,120.26964167,23.85493056,85
富貴角,新北市,42,,良好,0.4,0.19,39,45,27,11,7,7.2,0.1,1.6,219,"2024-12-01 07:00",,0.1,6.6,21,0,121.53656894,25.29681695,84
麥寮,雲林縣,152,細懸浮微粒,對所有族群不健康,1.5,0.41,12,15,64,52,13,14,1.1,1.2,64,"2024-12-01 07:00",,0.4,56.7,72,2,120.251825,23.753506,83
關山,臺東縣,31,,良好,1.6,0.2,10,15,17,9,4,4.6,1.1,0.8,68,"2024-12-01 07:00",,0.1,9.6,20,0,121.161933,23.045083,80
馬公,澎湖縣,46,,良好,1.1,0.16,48,50,19,7,3,3.2,0.5,2.3,16,"2024-12-01 07:00",,0.1,7,18,0,119.566158,23.569031,78
金門,金門縣,67,細懸浮微粒,普通,1.6,0.27,33,33,43,23,10,10.9,0.5,1.4,338,"2024-12-01 07:00",,0.2,21.9,41,1,118.312256,24.432133,77
馬祖,連江縣,52,細懸浮微粒,普通,3.1,1.46,36,52,38,22,13,13.7,0.3,2.4,331,"2024-12-01 07:00",,0.4,16.1,33,1,119.952724,26.153736,75
埔里,南投縣,97,細懸浮微粒,普通,0.9,0.34,5,14,35,36,9,11,2.2,0.3,313,"2024-12-01 07:00",,0.3,34.1,40,1,120.967903,23.968842,72
復興,高雄市,74,細懸浮微粒,普通,3.4,0.47,26,39,48,34,21,24.1,2.7,1,98,"2024-12-01 07:00",,0.3,25,41,1,120.312017,22.608711,71
永和,新北市,29,,良好,0.9,0.32,19,17,15,11,7,9.6,2.6,1.1,151,"2024-12-01 07:00",,0.3,8.8,17,1,121.516306,25.017,70
竹山,南投縣,86,細懸浮微粒,普通,1,0.31,10,18,37,25,10,11.4,1.3,0.8,142,"2024-12-01 07:00",,0.2,29.9,39,1,120.677306,23.756389,69
中壢,桃園市,61,細懸浮微粒,普通,0.8,0.79,10,14,52,45,23,43.7,20.9,1.1,171,"2024-12-01 07:00",,0.5,19.6,28,2,121.221667,24.953278,68
三重,新北市,48,,良好,1.6,1.13,1,5,32,20,29,105.5,76.3,-,-,"2024-12-01 07:00",,0.7,13.4,24,1,121.493806,25.072611,67
冬山,宜蘭縣,20,,良好,0.9,0.27,12,20,15,6,9,10.9,1.7,0.5,310,"2024-12-01 07:00",,0.2,6.2,18,0,121.792928,24.632203,66
宜蘭,宜蘭縣,23,,良好,1.6,0.22,24,25,13,8,3,3.9,0.9,0.3,283,"2024-12-01 07:00",,0.1,6.7,13,1,121.746394,24.747917,65
陽明,臺北市,45,,良好,1.5,0.23,55,50,30,10,3,3.5,0.8,1.5,100,"2024-12-01 07:00",,0.2,10.3,25,1,121.529583,25.182722,64
花蓮,花蓮縣,19,,良好,1.4,0.18,21,21,12,4,1,1.9,0.8,2.7,234,"2024-12-01 07:00",,0.1,5.7,15,1,121.599769,23.971306,63
臺東,臺東縣,27,,良好,0.8,0.15,22,30,12,4,2,2.8,0.8,2.1,306,"2024-12-01 07:00",,0.1,7.9,16,1,121.15045,22.755358,62
恆春,屏東縣,42,,良好,0.6,0.14,44,45,10,5,1,1.8,0.6,4.5,23,"2024-12-01 07:00",,0.1,5.2,12,0,120.788928,21.958069,61
潮州,屏東縣,74,細懸浮微粒,普通,0.9,0.31,14,17,33,20,4,4.8,0.2,1.2,50,"2024-12-01 07:00",,0.2,24.7,35,1,120.561175,22.523108,60
屏東,屏東縣,68,細懸浮微粒,普通,1.5,0.34,22,27,46,24,10,10.4,0.3,1.4,5,"2024-12-01 07:00",,0.3,22.4,43,1,120.488033,22.673081,59
小港,高雄市,75,細懸浮微粒,普通,1.4,0.35,30,33,44,25,16,16.8,0.8,1.3,37,"2024-12-01 07:00",,0.3,25.2,41,2,120.337736,22.565833,58
前鎮,高雄市,73,細懸浮微粒,普通,3.2,0.43,28,40,48,29,20,22.5,2.1,1.9,18,"2024-12-01 07:00",,0.3,24.6,44,1,120.30833356,22.6044507,57
前金,高雄市,70,細懸浮微粒,普通,1.6,0.32,38,41,55,23,12,12.6,1.1,2,352,"2024-12-01 07:00",,0.3,23.1,52,1,120.28676111,22.63390278,56
左營,高雄市,74,細懸浮微粒,普通,1.7,0.33,34,36,51,24,11,12.4,1,0.9,13,"2024-12-01 07:00",,0.3,24.7,45,1,120.292917,22.674861,54
楠梓,高雄市,61,細懸浮微粒,普通,1.5,0.29,29,33,42,23,12,13,0.4,1.2,60,"2024-12-01 07:00",,0.2,19.4,38,1,120.328289,22.733667,53
林園,高雄市,73,細懸浮微粒,普通,1.9,0.27,21,26,39,23,9,9.6,0.7,1.1,351,"2024-12-01 07:00",,0.3,24.5,41,2,120.41175,22.4795,52
大寮,高雄市,66,細懸浮微粒,普通,7.4,0.33,16,27,32,20,14,14.8,1.2,0.3,331,"2024-12-01 07:00",,0.2,21.6,28,4,120.425311,22.56413611,51
鳳山,高雄市,78,細懸浮微粒,普通,0.4,0.47,25,34,46,30,13,13.8,0.6,0.3,112,"2024-12-01 07:00",,0.3,26.5,43,1,120.357422,22.628126,50
仁武,高雄市,76,細懸浮微粒,普通,2.7,0.37,25,28,40,31,20,21.3,1.1,0.3,107,"2024-12-01 07:00",,0.3,25.6,38,1,120.332631,22.689056,49
橋頭,高雄市,71,細懸浮微粒,普通,1.5,0.28,23,24,41,25,11,11.4,0.3,1,43,"2024-12-01 07:00",,0.3,23.5,37,1,120.305689,22.757506,48
美濃,高雄市,61,細懸浮微粒,普通,0.7,0.29,14,17,27,19,6,7.6,1.2,0.2,67,"2024-12-01 07:00",,0.2,19.7,30,1,120.530542,22.883583,47
臺南,臺南市,83,細懸浮微粒,普通,1.8,0.36,26,25,48,24,28,28.2,0.6,1.2,42,"2024-12-01 07:00",,0.3,28.3,52,2,120.21947897,22.98928311,46
安南,臺南市,110,細懸浮微粒,對敏感族群不健康,1.8,0.48,17,21,62,38,17,17.4,0.4,0.9,27,"2024-12-01 07:00",,0.4,38.8,63,1,120.2175,23.048197,45
善化,臺南市,82,細懸浮微粒,普通,1.2,0.44,8,14,41,27,9,10.4,1,0.2,70,"2024-12-01 07:00",,0.3,28.1,45,2,120.29740529,23.11337642,44
新營,臺南市,100,細懸浮微粒,普通,1.9,0.37,32,27,52,31,10,10.9,1.2,0.8,43,"2024-12-01 07:00",,0.4,35.3,55,2,120.31725,23.305633,43
嘉義,嘉義市,82,細懸浮微粒,普通,1.2,0.25,19,18,25,18,5,5.5,0.5,0.6,311,"2024-12-01 07:00",,0.3,28,38,2,120.44125148,23.46477865,42
臺西,雲林縣,129,細懸浮微粒,對敏感族群不健康,0.8,0.47,9,18,86,62,17,17.4,0.7,0.8,85,"2024-12-01 07:00",,0.3,46.2,73,2,120.19933333,23.702175,41
朴子,嘉義縣,103,細懸浮微粒,對敏感族群不健康,1.9,0.55,5,13,63,40,18,21.2,3,0.4,340,"2024-12-01 07:00",,0.4,36.2,61,2,120.2478,23.46538,40
新港,嘉義縣,106,細懸浮微粒,對敏感族群不健康,1.4,0.42,12,14,58,36,14,14.4,0.8,0.6,344,"2024-12-01 07:00",,0.4,37.5,62,2,120.345531,23.554839,39
崙背,雲林縣,134,細懸浮微粒,對敏感族群不健康,1.3,0.44,11,10,55,44,11,11.3,0.1,0.5,44,"2024-12-01 07:00",,0.4,48.2,65,1,120.348742,23.757547,38
斗六,雲林縣,90,細懸浮微粒,普通,1.2,0.24,21,21,33,20,4,5.1,0.6,1.4,358,"2024-12-01 07:00",,0.3,31.2,45,2,120.544994,23.711853,37
南投,南投縣,106,細懸浮微粒,對敏感族群不健康,1.3,0.36,11,13,45,35,8,8.2,0.7,0.4,213,"2024-12-01 07:00",,0.3,37.6,51,1,120.685306,23.913,36
二林,彰化縣,141,細懸浮微粒,對敏感族群不健康,1.3,0.64,4,9,85,53,14,16,2.3,0.2,40,"2024-12-01 07:00",,0.4,50.9,79,2,120.409653,23.925175,35
線西,彰化縣,92,細懸浮微粒,普通,1.2,0.4,19,17,46,34,10,11.4,0.9,0.8,84,"2024-12-01 07:00",,0.4,32.3,48,3,120.469061,24.131672,34
彰化,彰化縣,82,細懸浮微粒,普通,1.1,0.35,20,21,37,34,7,8.2,1.2,0.3,274,"2024-12-01 07:00",,0.3,27.9,39,2,120.541519,24.066,33
西屯,臺中市,94,細懸浮微粒,普通,0.8,0.57,0,6,50,39,20,25.4,5.6,0.5,29,"2024-12-01 07:00",,0.5,32.8,48,1,120.616917,24.162197,32
忠明,臺中市,83,細懸浮微粒,普通,1,0.62,1,5,47,31,22,28,5.6,0.6,318,"2024-12-01 07:00",,0.5,28.6,43,1,120.641092,24.151958,31
大里,臺中市,85,細懸浮微粒,普通,1.5,0.51,9,8,41,30,12,14.6,2.1,0.8,125,"2024-12-01 07:00",,0.5,29.3,42,2,120.67844444,24.09961111,30
沙鹿,臺中市,101,細懸浮微粒,對敏感族群不健康,1.5,0.57,2,9,59,44,30,32.8,2.7,0.6,98,"2024-12-01 07:00",,0.4,35.6,56,1,120.568794,24.225628,29
豐原,臺中市,61,細懸浮微粒,普通,1.3,0.3,28,30,24,16,7,8,0.7,2.3,112,"2024-12-01 07:00",,0.3,19.7,28,2,120.74252414,24.25699731,28
三義,苗栗縣,60,細懸浮微粒,普通,1,0.26,24,34,19,15,3,4.2,1.1,1.6,13,"2024-12-01 07:00",,0.2,19,27,1,120.75956754,24.38248443,27
苗栗,苗栗縣,66,細懸浮微粒,普通,1.3,0.31,18,27,31,24,10,11.1,1.5,1.2,184,"2024-12-01 07:00",,0.3,21.5,28,1,120.82011468,24.56499183,26
頭份,苗栗縣,56,細懸浮微粒,普通,1.5,0.27,18,22,23,18,5,6.4,1.2,2.1,112,"2024-12-01 07:00",,0.2,17.7,27,2,120.89869286,24.69690679,25
新竹,新竹市,54,細懸浮微粒,普通,0.9,0.39,8,12,23,15,16,17.5,1.4,0.3,102,"2024-12-01 07:00",,0.4,16.7,25,1,120.97236752,24.8056356,24
竹東,新竹縣,54,細懸浮微粒,普通,1.2,0.33,16,17,23,17,8,9.4,0.9,2,122,"2024-12-01 07:00",,0.2,16.8,22,1,121.08895493,24.74091408,23
湖口,新竹縣,46,,良好,1.9,0.34,29,25,32,18,11,11.5,0.6,1.1,147,"2024-12-01 07:00",,0.3,14.2,29,2,121.03886894,24.90009696,22
龍潭,桃園市,52,細懸浮微粒,普通,0.8,0.31,25,23,33,18,12,13.4,1.4,1.3,168,"2024-12-01 07:00",,0.2,15.8,25,1,121.21645772,24.86400048,21
平鎮,桃園市,42,,良好,1.1,0.42,16,19,36,19,16,17,0.4,0.3,189,"2024-12-01 07:00",,0.3,12.9,25,1,121.203986,24.952786,20
觀音,桃園市,59,細懸浮微粒,普通,0.9,0.3,24,18,47,25,12,12.2,0.4,0.5,174,"2024-12-01 07:00",,0.3,18.7,36,1,121.08283092,25.03556747,19
大園,桃園市,43,,良好,1.3,0.37,8,15,31,18,23,26.1,3.5,1.8,155,"2024-12-01 07:00",,0.3,13.2,24,1,121.20251473,25.06100357,18
桃園,桃園市,48,,良好,1.7,0.52,3,8,22,15,23,28.6,5.4,0.9,201,"2024-12-01 07:00",,0.4,14.9,26,1,121.30500531,24.9947107,17
大同,臺北市,44,,良好,1.2,0.84,3,9,21,17,25,73.1,48.4,-,-,"2024-12-01 07:00",,0.6,13.4,18,1,121.51342074,25.06331455,16
松山,臺北市,29,,良好,0.6,0.38,4,10,21,8,16,24,8,0.3,37,"2024-12-01 07:00",,0.3,8.8,21,1,121.578611,25.05,15
古亭,臺北市,32,,良好,1.5,0.24,14,18,13,12,8,9.3,1.2,1.4,128,"2024-12-01 07:00",,0.2,10,15,1,121.529556,25.020608,14
萬華,臺北市,29,,良好,1,0.41,10,16,16,10,16,19.9,3.8,0.2,123,"2024-12-01 07:00",,0.3,8.8,18,1,121.507972,25.046503,13
中山,臺北市,37,,良好,0.8,0.29,17,15,20,13,9,10.3,1.3,1.8,92,"2024-12-01 07:00",,0.3,11.3,18,1,121.526528,25.062361,12
士林,臺北市,23,,良好,0.7,0.27,18,23,10,6,8,8.3,0.7,0.5,111,"2024-12-01 07:00",,0.2,7.1,15,1,121.51666356,25.10334003,11
淡水,新北市,30,,良好,1.6,0.36,12,21,20,8,15,16,1.4,2.5,140,"2024-12-01 07:00",,0.3,9.2,21,1,121.449239,25.1645,10
林口,新北市,33,,良好,1.2,0.3,27,30,17,15,18,20,2,1.3,193,"2024-12-01 07:00",,0.2,10.3,18,1,121.36548982,25.07798949,9
菜寮,新北市,48,,良好,0.7,0.83,1,4,19,14,28,48.9,20.9,0.4,230,"2024-12-01 07:00",,0.6,14.9,20,1,121.481028,25.06895,8
新莊,新北市,46,,良好,1.4,0.45,2,6,24,16,19,26.2,7.2,0.5,216,"2024-12-01 07:00",,0.4,14.1,25,1,121.4325,25.037972,7
板橋,新北市,40,,良好,0.8,0.47,6,11,17,18,21,27,5.8,1.1,254,"2024-12-01 07:00",,0.4,12.3,18,0,121.458667,25.012972,6
土城,新北市,33,,良好,1.3,0.35,8,11,21,11,16,19.7,3.3,0.2,124,"2024-12-01 07:00",,0.3,10.2,18,1,121.451861,24.982528,5
新店,新北市,37,,良好,0.4,0.22,15,18,20,12,6,6.5,0.8,1.3,174,"2024-12-01 07:00",,0.2,11.3,15,0,121.537778,24.977222,4
萬里,新北市,29,,良好,0.6,0.22,31,32,20,9,3,4.2,0.8,4.3,227,"2024-12-01 07:00",,0.1,7.8,15,0,121.689881,25.179667,3
汐止,新北市,37,,良好,1,0.48,2,3,20,10,16,35.7,19.8,0.3,252,"2024-12-01 07:00",,0.4,11.4,18,1,121.64081,25.06624,2
基隆,基隆市,30,,良好,1.3,0.56,2,4,16,8,19,26.8,7.9,0.4,309,"2024-12-01 07:00",,0.4,8,14,1,121.760056,25.129167,1
屏東(枋山),屏東縣,33,,良好,0.5,0.14,33,37,14,5,2,2.3,0.1,2.5,85,"2024-12-01 06:00",,0.1,5.7,15,0,120.651472,22.260899,313
花蓮（美崙）,花蓮縣,22,,良好,0,0.21,22,24,7,5,2,2.1,0.2,2.3,271,"2024-12-01 06:00",,0.2,6.6,11,0,121.61575076,23.97709367,312
新北(樹林),新北市,27,,良好,0.5,0.35,7,10,17,12,10,12.7,2.7,0,44,"2024-12-01 06:00",,0.3,8.3,16,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,67,細懸浮微粒,普通,1.1,0.29,33,41,44,27,8,8.6,0.4,1.9,344,"2024-12-01 06:00",,0.2,21.9,40,2,120.37722,22.35222,204
臺南（麻豆）,臺南市,103,細懸浮微粒,對敏感族群不健康,1.1,0.36,24,23,60,38,8,9.3,0.8,0.5,352,"2024-12-01 06:00",,0.3,36.2,60,1,120.24583056,23.17904722,203
高雄（湖內）,高雄市,82,細懸浮微粒,普通,1.9,0.27,25,24,57,35,11,11.7,0.3,0.7,36,"2024-12-01 06:00",,0.3,28,48,2,120.24535,22.87985556,202
彰化（員林）,彰化縣,85,細懸浮微粒,普通,1.4,0.42,12,16,52,28,12,13.6,1.8,0.4,318,"2024-12-01 06:00",,0.4,29.2,53,2,120.56373,23.96117,201
大城,彰化縣,130,細懸浮微粒,對敏感族群不健康,1,0.55,9,20,97,74,10,10.8,1.3,1.2,115,"2024-12-01 06:00",,0.3,46.5,65,2,120.26964167,23.85493056,85
富貴角,新北市,43,,良好,0.2,0.15,41,46,18,10,2,1.6,0,1.1,225,"2024-12-01 06:00",,0.1,5.3,20,0,121.53656894,25.29681695,84
麥寮,雲林縣,152,細懸浮微粒,對所有族群不健康,1.6,0.57,9,17,108,100,18,19.2,0.9,1.3,64,"2024-12-01 06:00",,0.4,56.5,73,2,120.251825,23.753506,83
關山,臺東縣,31,,良好,1.5,0.16,10,16,18,7,2,3,0.6,0.6,317,"2024-12-01 06:00",,0.1,9.5,21,0,121.161933,23.045083,80
馬公,澎湖縣,46,,良好,1,0.15,48,51,17,10,2,2.3,0.4,1.9,22,"2024-12-01 06:00",,0.1,7.2,18,0,119.566158,23.569031,78
金門,金門縣,66,細懸浮微粒,普通,1.5,0.24,32,36,39,24,11,11.9,0.5,1,2,"2024-12-01 06:00",,0.2,21.5,41,1,118.312256,24.432133,77
馬祖,連江縣,51,臭氧八小時,普通,2,0.93,45,55,32,15,6,6.4,0.2,2.8,334,"2024-12-01 06:00",,0.2,15.1,32,1,119.952724,26.153736,75
埔里,南投縣,97,細懸浮微粒,普通,0.8,0.31,11,16,35,31,5,5.7,0.9,0.3,299,"2024-12-01 06:00",,0.3,34.3,42,1,120.967903,23.968842,72
復興,高雄市,69,細懸浮微粒,普通,2.3,0.31,36,40,46,28,13,14.2,1.5,0.9,111,"2024-12-01 06:00",,0.3,23,40,1,120.312017,22.608711,71
永和,新北市,27,,良好,1,0.39,15,17,21,8,8,11.3,3.2,0.5,187,"2024-12-01 06:00",,0.4,8.4,18,1,121.516306,25.017,70
竹山,南投縣,92,細懸浮微粒,普通,1,0.23,13,21,33,25,7,8,0.8,0.3,214,"2024-12-01 06:00",,0.2,32.2,40,1,120.677306,23.756389,69
